Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=OrderURL~String~OrderURL~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Coil_Driver.PrjPcb|ReportField=ProjectFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\Coil_Driver.PrjPcb|ReportField=Title~Bill of Materials For Project [Coil_Driver.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~814|ReportField=ReportTime~19:01:38|ReportField=ReportDate~27/02/2017|ReportField=ReportDateTime~27/02/2017 19:01:38|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27/02/2017|ReportField=CurrentTime~18:39:26|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\System.SchDoc|ReportField=DocumentName~System.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27/02/2017|ReportField=Organization~|ReportField=ProjectName~Coil_Driver.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Coil_Driver.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\Coil_Driver.PrjPcb|ReportField=PCBDataSourceFileName~PCB1.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Alex\Documents\repositories\AnserEMT\PCB_Design_Files\Driver PCB\PCB1.PcbDoc
1|CAP 10nF 25V 0603(1608)|CAP 10nF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C1_Ch1, C1_Ch2, C1_Ch3, C1_Ch4, C1_Ch5, C1_Ch6, C1_Ch7, C1_Ch8, C3_Ch1, C3_Ch2, C3_Ch3, C3_Ch4, C3_Ch5, C3_Ch6, C3_Ch7, C3_Ch8, C5_Ch1, C5_Ch2, C5_Ch3, C5_Ch4, C5_Ch5, C5_Ch6, C5_Ch7, C5_Ch8, C6_Ch1, C6_Ch2, C6_Ch3, C6_Ch4, C6_Ch5, C6_Ch6, C6_Ch7, C6_Ch8, C10_Ch1, C10_Ch2, C10_Ch3, C10_Ch4, C10_Ch5, C10_Ch6, C10_Ch7, C10_Ch8, C11_Ch1, C11_Ch2, C11_Ch3, C11_Ch4, C11_Ch5, C11_Ch6, C11_Ch7, C11_Ch8, C13_Ch1, C13_Ch2, C13_Ch3, C13_Ch4, C13_Ch5, C13_Ch6, C13_Ch7, C13_Ch8, C15_Ch1, C15_Ch2, C15_Ch3, C15_Ch4, C15_Ch5, C15_Ch6, C15_Ch7, C15_Ch8, C19_Ch1, C19_Ch2, C19_Ch3, C19_Ch4, C19_Ch5, C19_Ch6, C19_Ch7, C19_Ch8, C28, C30_IAmp1, C30_IAmp2, C30_IAmp3, C30_IAmp4, C30_IAmp5, C30_IAmp6, C30_IAmp7, C30_IAmp8, C31_IAmp1, C31_IAmp2, C31_IAmp3, C31_IAmp4, C31_IAmp5, C31_IAmp6, C31_IAmp7, C31_IAmp8, C34_IAmp1, C34_IAmp2, C34_IAmp3, C34_IAmp4, C34_IAmp5, C34_IAmp6, C34_IAmp7, C34_IAmp8, C35_IAmp1, C35_IAmp2, C35_IAmp3, C35_IAmp4, C35_IAmp5, C35_IAmp6, C35_IAmp7, C35_IAmp8, C38_IAmp1, C38_IAmp2, C38_IAmp3, C38_IAmp4, C38_IAmp5, C38_IAmp6, C38_IAmp7, C38_IAmp8, C39_IAmp1, C39_IAmp2, C39_IAmp3, C39_IAmp4, C39_IAmp5, C39_IAmp6, C39_IAmp7, C39_IAmp8, C42_IAmp1, C42_IAmp2, C42_IAmp3, C42_IAmp4, C42_IAmp5, C42_IAmp6, C42_IAmp7, C42_IAmp8, C43_IAmp1, C43_IAmp2, C43_IAmp3, C43_IAmp4, C43_IAmp5, C43_IAmp6, C43_IAmp7, C43_IAmp8|CAPC0603(1608)100_N|CMP-1035-02317-1|137|http://www.digikey.ie/product-detail/en/yageo/CC0603KRX7R8BB103/311-1360-1-ND/2103144
2|CAP 100nF 25V 0603(1608)|CAP 100nF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C2_Ch1, C2_Ch2, C2_Ch3, C2_Ch4, C2_Ch5, C2_Ch6, C2_Ch7, C2_Ch8, C4_Ch1, C4_Ch2, C4_Ch3, C4_Ch4, C4_Ch5, C4_Ch6, C4_Ch7, C4_Ch8, C8_Ch1, C8_Ch2, C8_Ch3, C8_Ch4, C8_Ch5, C8_Ch6, C8_Ch7, C8_Ch8, C21_Ch1, C21_Ch2, C21_Ch3, C21_Ch4, C21_Ch5, C21_Ch6, C21_Ch7, C21_Ch8, C22_Ch1, C22_Ch2, C22_Ch3, C22_Ch4, C22_Ch5, C22_Ch6, C22_Ch7, C22_Ch8, C24_Ch1, C24_Ch2, C24_Ch3, C24_Ch4, C24_Ch5, C24_Ch6, C24_Ch7, C24_Ch8, C27, C32_IAmp1, C32_IAmp2, C32_IAmp3, C32_IAmp4, C32_IAmp5, C32_IAmp6, C32_IAmp7, C32_IAmp8, C33_IAmp1, C33_IAmp2, C33_IAmp3, C33_IAmp4, C33_IAmp5, C33_IAmp6, C33_IAmp7, C33_IAmp8, C36_IAmp1, C36_IAmp2, C36_IAmp3, C36_IAmp4, C36_IAmp5, C36_IAmp6, C36_IAmp7, C36_IAmp8, C37_IAmp1, C37_IAmp2, C37_IAmp3, C37_IAmp4, C37_IAmp5, C37_IAmp6, C37_IAmp7, C37_IAmp8, C40_IAmp1, C40_IAmp2, C40_IAmp3, C40_IAmp4, C40_IAmp5, C40_IAmp6, C40_IAmp7, C40_IAmp8, C41_IAmp1, C41_IAmp2, C41_IAmp3, C41_IAmp4, C41_IAmp5, C41_IAmp6, C41_IAmp7, C41_IAmp8, C44_IAmp1, C44_IAmp2, C44_IAmp3, C44_IAmp4, C44_IAmp5, C44_IAmp6, C44_IAmp7, C44_IAmp8, C45_IAmp1, C45_IAmp2, C45_IAmp3, C45_IAmp4, C45_IAmp5, C45_IAmp6, C45_IAmp7, C45_IAmp8|CAPC0603(1608)100_M|CMP-1035-02588-1|113|http://www.digikey.ie/product-detail/en/yageo/CC0603KRX7R8BB104/311-1341-1-ND/2103125
3|CAP 2.2uF 25V 0603(1608)|CAP 2.2uF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C7_Ch1, C7_Ch2, C7_Ch3, C7_Ch4, C7_Ch5, C7_Ch6, C7_Ch7, C7_Ch8, C23_Ch1, C23_Ch2, C23_Ch3, C23_Ch4, C23_Ch5, C23_Ch6, C23_Ch7, C23_Ch8|CAPC0603(1608)100_M|CMP-1035-02767-1|16|http://www.digikey.ie/product-detail/en/taiyo-yuden/TMK107ABJ225KA-T/587-2909-1-ND/2649029
4|CAP 10uF 25V 1206(3216)|CAP 10uF 25V ±10% 1206 (3216 Metric) Thickness 1.9mm SMD|C9_Ch1, C9_Ch2, C9_Ch3, C9_Ch4, C9_Ch5, C9_Ch6, C9_Ch7, C9_Ch8, C20_Ch1, C20_Ch2, C20_Ch3, C20_Ch4, C20_Ch5, C20_Ch6, C20_Ch7, C20_Ch8, C26_Ch1, C26_Ch2, C26_Ch3, C26_Ch4, C26_Ch5, C26_Ch6, C26_Ch7, C26_Ch8|CAPC1206(3216)190_L|CMP-1037-04979-1|24|http://www.digikey.ie/product-detail/en/murata-electronics-north-america/GRM319R61E106KA12D/490-5525-1-ND/2334921
5|CAP 1uF 25V 0603(1608)|CAP 1uF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C12_Ch1, C12_Ch2, C12_Ch3, C12_Ch4, C12_Ch5, C12_Ch6, C12_Ch7, C12_Ch8, C25_Ch1, C25_Ch2, C25_Ch3, C25_Ch4, C25_Ch5, C25_Ch6, C25_Ch7, C25_Ch8|CAPC0603(1608)100_L|CMP-1035-02740-1|16|http://www.digikey.ie/product-detail/en/taiyo-yuden/TMK107BJ105KA-T/587-1248-1-ND/931025
6|CAP 470pF 25V 0603(1608)|CAP 470pF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C14_Ch1, C14_Ch2, C14_Ch3, C14_Ch4, C14_Ch5, C14_Ch6, C14_Ch7, C14_Ch8|CAPC0603(1608)100_N|CMP-1035-01671-1|8|http://www.digikey.ie/product-detail/en/kemet/C0603C471K3RACTU/399-9086-1-ND/3522603
7|CAP 22uF 25V 1206(3216)|CAP 22uF 25V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD|C16_Ch1, C16_Ch2, C16_Ch3, C16_Ch4, C16_Ch5, C16_Ch6, C16_Ch7, C16_Ch8, C17_Ch1, C17_Ch2, C17_Ch3, C17_Ch4, C17_Ch5, C17_Ch6, C17_Ch7, C17_Ch8, C18_Ch1, C18_Ch2, C18_Ch3, C18_Ch4, C18_Ch5, C18_Ch6, C18_Ch7, C18_Ch8|CAPC1206(3216)190_M|CMP-1037-04995-1|24|http://www.digikey.ie/product-detail/en/taiyo-yuden/TMK316BBJ226ML-T/587-3246-1-ND/3660105
8|CAP 100pF 25V 0603(1608)|CAP 100pF 25V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C29|CAPC0603(1608)100_N|CMP-1035-01265-1|1|http://www.digikey.ie/product-detail/en/yageo/CC0201JRNPO8BN101/311-1382-1-ND/2833688
9|NI6212 DAQ|DAQ Unit|DAQ1||NI6212|1|
10|0.00 Ohm|Jumper 1206 (3216 Metric)|J1_IAmp1, J1_IAmp2, J1_IAmp3, J1_IAmp4, J1_IAmp5, J1_IAmp6, J1_IAmp7, J1_IAmp8, J2_IAmp1, J2_IAmp2, J2_IAmp3, J2_IAmp4, J2_IAmp5, J2_IAmp6, J2_IAmp7, J2_IAmp8, J3_IAmp1, J3_IAmp2, J3_IAmp3, J3_IAmp4, J3_IAmp5, J3_IAmp6, J3_IAmp7, J3_IAmp8, J4_IAmp1, J4_IAmp2, J4_IAmp3, J4_IAmp4, J4_IAmp5, J4_IAmp6, J4_IAmp7, J4_IAmp8, J5_IAmp1, J5_IAmp2, J5_IAmp3, J5_IAmp4, J5_IAmp5, J5_IAmp6, J5_IAmp7, J5_IAmp8, J6_IAmp1, J6_IAmp2, J6_IAmp3, J6_IAmp4, J6_IAmp5, J6_IAmp6, J6_IAmp7, J6_IAmp8|RESC1206(3216)_M|CMP-1014-00001-1|48|http://www.digikey.ie/product-detail/en/yageo/RC0603JR-070RL/311-0.0GRCT-ND/729622
11|Arduino nano MCU|ARDUINO NANO BOARD|MCU1|Arduino Nano|ARDUINO NANO|1|
12|Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|1|
13|TSW-105-15-T-D||P2, P3, P4, P5|SMTC-TSW-105-15-X-D|CMP-1024-00368-1|4|
14|10K 1% 0603(1608)|10K 0.1W 1% 0603 (1608 Metric)  SMD|R1_Ch1, R1_Ch2, R1_Ch3, R1_Ch4, R1_Ch5, R1_Ch6, R1_Ch7, R1_Ch8, R2_Ch1, R2_Ch2, R2_Ch3, R2_Ch4, R2_Ch5, R2_Ch6, R2_Ch7, R2_Ch8|RESC0603(1608)_N|CMP-1012-00623-1|16|http://www.digikey.ie/product-detail/en/yageo/RC0603FR-0710KL/311-10.0KHRCT-ND/729827
15|1K 5% 0603(1608)|1K 0.1W 5% 0603 (1608 Metric)  SMD|R3_Ch1, R3_Ch2, R3_Ch3, R3_Ch4, R3_Ch5, R3_Ch6, R3_Ch7, R3_Ch8, R8_Ch1, R8_Ch2, R8_Ch3, R8_Ch4, R8_Ch5, R8_Ch6, R8_Ch7, R8_Ch8, R10_Ch1, R10_Ch2, R10_Ch3, R10_Ch4, R10_Ch5, R10_Ch6, R10_Ch7, R10_Ch8|RESC0603(1608)_L|CMP-1012-00074-1|24|http://www.digikey.ie/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRCT-ND/729624
